"text,label"
"I love this!,positive"
"This is terrible.,negative"
"Absolutely fantastic!,positive"
"I hate this!,negative"
"Best day ever!,positive"
"Absolutely loved it!,positive"
"I'm so happy with this!,positive"
"Not a fan of this at all.,negative"
"Such a great experience!,positive"
"Will never buy this again.,negative"
"Feeling great today!,positive"
"Awful service.,negative"
"Can't believe how good this is!,positive"
"Very disappointing.,negative"
"I am thrilled with my purchase!,positive"
"Such a letdown.,negative"
"This is my favorite!,positive"
"Utterly frustrating.,negative"
"Can't get enough of this!,positive"
"Really bad quality.,negative"
"So much fun!,positive"
"Extremely unhappy with this.,negative"
"Highly recommend it!,positive"
"Not worth the money.,negative"
"This product changed my life!,positive"
"Terrible experience!,negative"
"Such an amazing journey!,positive"
"I despise this.,negative"
"Delighted with the results!,positive"
"Very poor quality.,negative"
"Absolutely worth it!,positive"
"Disappointing results.,negative"
"I feel so grateful!,positive"
"Never again will I use this.,negative"
"Life is good!,positive"
"Very bad customer support.,negative"
"I'm in love with this!,positive"
"Not what I expected.,negative"
"This is awesome!,positive"
"Wouldn't recommend this.,negative"
"Fantastic product!,positive"
"Really dissatisfied.,negative"
"Feeling blessed!,positive"
"Complete waste of time.,negative"
"Such a joy to use!,positive"
"Extremely frustrating experience.,negative"
"This makes me so happy!,positive"
"Very unhappy with this purchase.,negative"
"Superb quality!,positive"
"Just awful.,negative"
"Couldn't be happier!,positive"
"Zero stars for this product.,negative"
"Great value for money!,positive"
"Disappointing and underwhelming.,negative"
"Thrilled with my experience!,positive"
"Not what I hoped for.,negative"
"Impressed beyond measure!,positive"
"Very disappointing service.,negative"
"One of the best things I've done!,positive"
"Unpleasant surprise.,negative"
"I'm ecstatic about this!,positive"
"Would never try this again.,negative"
"Life-changing experience!,positive"
"Totally regret this purchase.,negative"
"Simply wonderful!,positive"
"Complete scam!,negative"
"Best purchase ever!,positive"
"I feel cheated.,negative"
"Can't wait to tell everyone!,positive"
"Awful product!,negative"
"Joyful and uplifting!,positive"
"Very negative experience.,negative"
"Everything I wanted and more!,positive"
"Regret buying this.,negative"
"Such a wonderful time!,positive"
"Extremely underwhelming.,negative"
"Thrilled to have this!,positive"
"Such a headache.,negative"
"Completely satisfied!,positive"
"Just plain bad.,negative"
"Absolutely excellent!,positive"
"Not good at all.,negative"
"Felt so good using this!,positive"
"Wouldn't waste my time.,negative"
"Extremely happy with my decision!,positive"
"Totally disappointed.,negative"
"This is truly remarkable!,positive"
"Did not meet my expectations.,negative"
"Really impressed!,positive"
"Terrible experience, avoid!,negative"
"I would buy this again!,positive"
"Disappointed beyond belief.,negative"
"Pure joy!,positive"
"Very unpleasent.,negative"
"An absolute gem!,positive"
"Such a rip-off.,negative"
"Couldn’t be more satisfied!,positive"
"Awful quality!,negative"
"This is the best thing ever!,positive"
"Very bad experience.,negative"
"Extremely pleased!,positive"
"Just not worth it.,negative"
"Fantastic all around!,positive"
"Never again!,negative"
"Such a delightful surprise!,positive"
"Utterly disappointed.,negative"
"Happy to have found this!,positive"
"I loathe this product.,negative"
"Remarkable performance!,positive"
"Wish I could get my money back.,negative"
"Thrilled with this find!,positive"
"Unbelievably bad.,negative"
"Absolutely stunning!,positive"
"Horrible experience.,negative"
"I'm a big fan!,positive"
"Would not recommend.,negative"
"Great way to spend my time!,positive"
"Disheartening.,negative"
"Wonderful addition to my life!,positive"
"Terrible quality and service.,negative"
"Life is so much better with this!,positive"
"I deeply regret this purchase.,negative"
"This has made me so happy!,positive"
"Extremely dissatisfied.,negative"
"Such a fantastic product!,positive"
"Not worth the hype.,negative"
"Feeling elated!,positive"
"Very unsatisfactory.,negative"
"This has brought me so much joy!,positive"
"Disgusting product!,negative"
"Truly an amazing find!,positive"
"Unbelievably disappointing.,negative"
"Such a joy to use every day!,positive"
"Completely regretful.,negative"
"This is simply the best!,positive"
"Awful from start to finish.,negative"
"Completely enamored!,positive"
"Very frustrating experience.,negative"
"Joy in every use!,positive"
"Total waste of money.,negative"
"Best decision I ever made!,positive"
